body,category_id,head,id,image_id,left-back-leg,left-front-leg,left-wing,right-back-leg,right-front-leg,right-wing,tail
"(1903, 827)",8,"(1789, 827)",28244,5a2176e7-23d2-11e8-a6a3-ec086b02610b,"(1986, 989)","(1819, 908)","(-1, -1)","(2029, 974)","(-1, -1)","(-1, -1)","(2040, 928)"
"(-1, -1)",16,"(-1, -1)",2303,5a2177bf-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(1979, 964)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(791, 824)",11,"(814, 788)",13962,59a30d59-23d2-11e8-a6a3-ec086b02610b,"(797, 872)","(-1, -1)","(-1, -1)","(778, 886)","(-1, -1)","(756, 829)","(687, 834)"
"(1962, 800)",16,"(1858, 727)",4512,59ffbb81-23d2-11e8-a6a3-ec086b02610b,"(1976, 942)","(1892, 887)","(-1, -1)","(-1, -1)","(1916, 881)","(-1, -1)","(-1, -1)"
"(863, 1319)",10,"(636, 1277)",38155,5a07cbea-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(1215, 1430)",1,"(-1, -1)",40649,59eab996-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(44, 962)",16,"(-1, -1)",7426,59973fb2-23d2-11e8-a6a3-ec086b02610b,"(80, 1097)","(-1, -1)","(-1, -1)","(151, 1101)","(-1, -1)","(-1, -1)","(240, 942)"
"(380, 908)",10,"(293, 947)",22452,598aced6-23d2-11e8-a6a3-ec086b02610b,"(409, 973)","(346, 969)","(-1, -1)","(387, 966)","(317, 966)","(-1, -1)","(462, 911)"
"(1247, 1126)",1,"(1177, 1142)",25601,59a30c85-23d2-11e8-a6a3-ec086b02610b,"(1280, 1254)","(1208, 1229)","(-1, -1)","(1375, 1287)","(-1, -1)","(-1, -1)","(1500, 1307)"
"(1602, 863)",9,"(1416, 841)",44206,59c31abc-23d2-11e8-a6a3-ec086b02610b,"(1638, 1017)","(1447, 1031)","(-1, -1)","(1769, 1005)","(1595, 1007)","(-1, -1)","(1802, 928)"
"(348, 1003)",1,"(482, 988)",518,5a0afff4-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(298, 1118)","(459, 1039)","(-1, -1)","(146, 1118)"
"(397, 819)",5,"(-1, -1)",33202,59b93839-23d2-11e8-a6a3-ec086b02610b,"(372, 869)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(500, 860)"
"(1276, 1193)",10,"(1390, 1101)",41755,598c5b13-23d2-11e8-a6a3-ec086b02610b,"(1293, 1263)","(1368, 1268)","(-1, -1)","(1235, 1275)","(1339, 1253)","(-1, -1)","(1189, 1232)"
"(938, 732)",10,"(1010, 722)",29720,59d5b855-23d2-11e8-a6a3-ec086b02610b,"(936, 792)","(-1, -1)","(-1, -1)","(930, 807)","(986, 775)","(-1, -1)","(877, 754)"
"(163, 947)",1,"(63, 1041)",29745,596d6516-23d2-11e8-a6a3-ec086b02610b,"(267, 986)","(136, 1043)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(302, 906)"
"(1455, 1338)",3,"(1585, 1444)",4115,598f779f-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(1322, 1420)","(-1, -1)","(-1, -1)","(1283, 1331)"
"(1163, 1060)",3,"(1273, 1254)",40188,5a17e05d-23d2-11e8-a6a3-ec086b02610b,"(1148, 1229)","(1192, 1321)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(938, 954)"
